Unnamed: 0,site,publish_date,title,content
0,diariocorreo,2021-07-29 23:55:16.656000+00:00,Pedro Castillo a delincuentes extranjeros: “Tendrán 72 horas para que salgan del país”,"Pedro Castillo anuncia que no gobernará desde Palacio de Gobierno. (Foto: Twitter 
@PedroCastilloTe Redacción Diario CorreoActualizado el 29/07/2021 06:55 p.m.El presidente de la República, Pedro Castillo, en su primer mensaje a la Nación, dio un plazo de 72 horas a todos los delincuentes extranjeros para que salgan del país.MIRA ESTO | Jorge Muñoz tras discurso de Pedro Castillo: “Me preocupa el tema de los ronderos” (VIDEO)Dicho anuncio lo realizó tras su llegada al Congreso de la República, donde juramentó al cargo de Presidente de la República. Entre la variedad de temas que tocó, en su primer discurso como mandatario, se refirió a la seguridad ciudadana.Castillo Terrones explicó que esta es uno de los problemas más sentidos por la población. “La policía lucha contra este mal pero eso no es suficiente...pese al esfuerzo, siguen campeando las bandas y robos callejeros”, agregó.En ese sentido, explicó que su Gobierno piensa en expandir el sistemas de rondas campesinas en el Perú. “Esto no es otra cosa que la población organizada para dar seguridad a todos... Convocamos a todos para conformarlas en donde no existan”, aseveró el mandatario.TE PUEDE INTERESAR | Partido Morado indica que designación de Guido Bellido como titular de la PCM “atenta contra la gobernabilidad”Se agregó que fortalecerán la ley de rondas y respetarán su autonomía. De lado, Castillo dio un ultimátum para todos los delincuentes extranjeros que ingresaron al país para delinquir.“Tendrán 72 horas de plazo, a partir de la fecha, para salir del país”, sentenció Castillo.VIDEO RECOMENDADO Fiestas Patrias: ¿Cuáles son las medidas restrictivas para el 28 y 29 de julio por el COVID-19?La ministra de Comercio Exterior y Turismo, Claudia Cornejo, informó  cuáles serán las restricciones por 28 y 29 de julio, con motivo de las celebraciones por Fiestas Patrias, en medio de la segunda ola del coronavirus que está en descenso. Tags Relacionados:Pedro CastilloBicentenario de la Independencia del PerúNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
1,diariocorreo,2021-07-29 23:48:20.264000+00:00,"María del Carmen Alva sobre Sagasti: “Le invitaron a que dejara la banda, él la quiso dejar en la puerta”","La presidenta del Congreso, María del Carmen Alva, respondió sobre incidente con Francisco Sagasti. (Foto: Congreso) Redacción Diario CorreoActualizado el 29/07/2021 06:48 p.m.La presidenta del Congreso, María del Carmen Alva (Acción Popular), aseguró que fue el área de protocolo del Congreso el cual se encargó de la recepción de la banda presidencial que esta mañana fue a dejar el ahora expresidente de la República, Francisco Sagasti.MIRA AQUÍ: Congresistas del Partido Morado mostraron su desacuerdo por entrega de banda presidencial fuera del Parlamento“El protocolo del Congreso es el que ve el protocolo, no lo veo yo. El debía de entregar la banda. Le invitaron que ingresara para dejar la banda porque él ya no es presidente desde ayer, eso lo sabemos porque es presidente siempre y cuando sea presidente del Congreso”, señaló ante la prensa.María del Carmen Alva dijo que Francisco Sagasti dejó de ser presidente cuando dejó de ser congresista. (RPP) Alva, quien respondió a la prensa antes de ingresar al Centro de Convenciones de Lima donde se iba a llevar a cabo un almuerzo protocolar con el nuevo mandatario, Pedro Castillo y otras autoridades nacionales e internacionales, señaló que fue Sagasti quien decidió entregar la banda presidencial en la puerta del Congreso.“Le invitaron a que dejara la banda, él la quiso dejar en la puerta”, detalló la legisladora.MIRA AQUÍ: Pedro Castillo: los looks de su familia en la toma de mando (FOTOS)Francisco Sagasti se desplazó desde el Palacio de Gobierno hasta el Parlamento a las 11 a.m. para cumplir el acto de entregar su banda presidencial a la presidenta del Congreso, ya que esta última es la encargada de hacer la entrega de la misma al sucesor de Sagasti, Pedro Castillo.Sin embargo, dos horas antes, a las 9:45 a.m. en la sesión solemne en el Poder Legislativo, la Oficialía Mayor del Congreso ya le había puesto una banda presidencial a María del Carmen Alva.Luego de haber saludado a los presidentes de otros países que iban a participar en la juramentación de Pedro Castillo, Sagasti se dirigió a la sede del Parlamento pero devolvió la banda en la puerta del palacio a un edecán. Luego, se retiró sin dar declaraciones a la prensa.El expresidente Francisco Sagasti se retiró la banda presidencial en los exteriores del Legislativo. (Foto: Leandro Britto / @photo.gec) “El protocolo indica que a mí me puso (la banda) el oficial mayor, en su momento de la ceremonia, y el presidente Sagasti tenía que devolver la banda. Nada más. Eso es lo que ha echo y eso lo ven desde protocolo. Yo no veo ese procedimiento”, insistió la titular del Parlamento.MIRA AQUÍ: Regístrate gratis AQUÍ en nuestro boletín CORREO HOY y recibe las noticias que te interesan en tu correo electrónicoVIDEO RECOMENDADOMaría del Carmen Alva asume la presidencia del CongresoTags Relacionados:María del Carmen AlvaFrancisco Sagastibanda presidencialNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
2,diariocorreo,2021-07-29 23:27:32.719000+00:00,Keiko Fujimori a Pedro Castillo: “Seremos un muro de contención frente a su amenaza de una nueva Constitución”,"“A 200 años de que lográramos una República libre, hoy debemos ratificar nuestro compromiso en defender esta libertad"", señaló Fujimori Higuchi. (Foto: GEC) Redacción Diario CorreoActualizado el 29/07/2021 06:27 p.m.La lideresa de Fuerza Popular, Keiko Fujimori, aseguró el último miércoles que su bancada será un “muro de contención” de cara a la propuesta de una Asamblea Constituyente anunciada por el presidente Pedro Castillo en su mensaje a la Nación.MIRA AQUÍ: Pedro Castillo anuncia que no vivirá en Palacio de Gobierno y que será convertido en museo (VIDEO)A través de su cuenta de Twitter, la excandidata presidencial aseguró que su bancada apoyará “toda iniciativa” del oficialismo que se encuentre dirigida “a mejorar la calidad de vida de la población” en el Congreso.“A 200 años de que lográramos una República libre, hoy debemos ratificar nuestro compromiso en defender esta libertad. Ello implica rechazar la demagogia, la división y el odio. Desde Fuerza Popular apoyaremos toda iniciativa del nuevo gobierno destinada a mejorar la calidad de vida de la población porque la educación, salud y bienestar de todos los peruanos está por encima de nuestras diferencias”, escribió.A 200 años de que lográramos una República libre, hoy debemos ratificar nuestro compromiso en defender esta libertad. Ello implica rechazar la demagogia, la división y el odio. (1/3)— Keiko Fujimori (@KeikoFujimori) July 29, 2021 MIRA AQUÍ: “Saluden por lo menos pues”: Critican a sujeto que gritó a la familia del presidente Pedro Castillo (VIDEOS)“Pero también seremos un firme muro de contención frente a su amenaza latente de una nueva Constitución comunista y de cambios estructurales en los cimientos de nuestro desarrollo. Haremos una defensa democrática responsable”, señaló.Pero también seremos un firme muro de contención frente a su amenaza latente de una nueva Constitución comunista y de cambios estructurales en los cimientos de nuestro desarrollo. Haremos una defensa democrática responsable. (3/3)— Keiko Fujimori (@KeikoFujimori) July 29, 2021 Este miércoles en su mensaje a la Nación, Pedro Castillo insistió en la necesidad de dotar al país de una nueva Carta Magna a través de una Asamblea Constituyente, que “permita cambiar el rostro a nuestra realidad económica y social”, pero siempre en el marco de la ley y con los instrumentos legales que la propia Constitución Política de 1993 proporciona.“Tengan la seguridad que nunca se hará tabla rasa de la legalidad, sin duda para lograr este propósito tendremos que conciliar posiciones con el Congreso de la República, pues será aquí, en la casa de las leyes donde se tendrán que aprobar las normas correspondientes”, manifestó.Regístrate gratis AQUÍ en nuestro boletín CORREO HOY y recibe las noticias que te interesan en tu correo electrónicoVIDEO RECOMENDADORevive la juramentación de Pedro Castillo como presidente del PerúTags Relacionados:Keiko FujimoriPedro CastilloNueva constituciónNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
3,diariocorreo,2021-07-29 23:27:10.005000+00:00,Francisco Sagasti fue denunciado por genocidio por muertes debido al COVID-19 ,"El presidente Francisco Sagasti fue denunciado por excongresista César Gonzales Tuanama. (Foto Twitter @presidenciaperu) Redacción Diario CorreoActualizado el 29/07/2021 06:27 p.m.El presidente Francisco Sagasti fue denunciado por el delito de crimen de lesa humanidad, en la modalidad de genocidio, por las muertes en el Perú debido a la pandemia del coronavirus.MIRA: Francisco Sagasti: “Es muy posible que tengamos una tercera ola” (VIDEO)La denuncia fue presentada por el excongresista César Gonzales Tuanama ante la Subcomisión de Acusaciones Constitucionales del Parlamento e incluye a la primera ministra, Violeta Bermúdez, y a todo su Gabinete Ministerial.Denuncia a Martín Vizcarra y ex primeros ministrosDel mismo modo, la acusación constitucional incluye al expresidente Martín Vizcarra, a sus ex primeros ministros Vicente Zeballos y Walter Martos, y a todo el Consejo de Ministros de ese entonces.Cabe indicar que el pasado 31 de mayo el grupo de trabajo técnico (GTT) creado por el Ejecutivo para actualizar la cifra de fallecidos por el COVID-19 presentó su informe final a fin de esclarecer el impacto de la pandemia en el país.MIRA: Francisco Sagasti sobre su Gobierno: “Al decirle sí a alguna cosa, le estás diciendo no a otras” (VIDEO)En esa línea, estableció que hubo 180.764 muertos por el virus entre el 1 de marzo del 2020 y el 22 de mayo último. Se contabilizaron un total de 89.884 muertes durante la primera ola de la pandemia y 90.880 en la segunda ola (hasta el 22 de mayo).En abril pasado Gonzales Tuanama ya había presentado otra denuncia constitucional contra Sagasti por la vacunación irregular contra el coronavirus de Vizcarra Cornejo, hecho conocido como el ‘Vacunagate’.La denuncia también incluía a Violeta Bermúdez y para los tres involucrados se solicitaba una sanción política para inhabilitarles durante diez años en el ejercicio de la administración pública. Además planteaba que el escrito sea también remitido a la Fiscalía.TE PUEDE INTERESAR Francisco Sagasti: “Si algo habremos hecho en este gobierno es, por lo menos, cumplir lo que prometimos”Francisco Sagasti espera que en los próximos meses la relación entre el Congreso y el Ejecutivo sea lo más fluidaSagasti sobre acudir a programas: “Existe la libertad de decidir a dónde voy y a dónde no voy” (VIDEO)Francisco Sagasti: “Hay algunos congresistas que consideraron que su trabajo era atacar al Ejecutivo” (VIDEO)Francisco Sagasti sobre la Asamblea Constituyente: “Le dije a Castillo que no me parecía necesario” (VIDEO)Francisco Sagasti: “Tuve dos reuniones con Pedro Castillo en Palacio de Gobierno” (VIDEO)VIDEO RECOMENDADOFiestas Patrias: ¿Cuáles son las medidas restrictivas para el 28 y 29 de julio por el COVID-19?La ministra de Comercio Exterior y Turismo, Claudia Cornejo, informó  cuáles serán las restricciones por 28 y 29 de julio, con motivo de las celebraciones por Fiestas Patrias, en medio de la segunda ola del coronavirus que está en descenso. Tags Relacionados:Francisco SagastiCOVID-19CongresoMartín VizcarraVioleta BermúdezNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
4,diariocorreo,2021-07-29 23:05:02.514000+00:00,Julio Arbizu tilda de “primer grave error político” la designación de Guido Bellido en la PCM,"Exprocurador que integró el equipo de transferencia del Ministerio de Justicia del actual Gobierno aseguró que Guido Bellido “espanta” consensos y alianzas. Redacción Diario CorreoActualizado el 29/07/2021 06:05 p.m.El exprocurador anticorrupción Julio Arbizu consideró que la designación de Guido Bellido como presidente del Consejo de Ministros es el “primer grave error político del gobierno” de Pedro Castillo.TE PUEDE INTERESAR | Partido Morado indica que designación de Guido Bellido como titular de la PCM “atenta contra la gobernabilidad”A través de su cuenta de Twitter, el abogado que integró el equipo de transferencia del Ministerio de Justicia del actual Gobierno aseguró que el también parlamentario “espanta” consensos y cuestionó sus “declaraciones homofóbicas”.“Primer grave error político del gobierno, nombrar como premier a una persona [Guido Bellido] que, en lugar de afirmar las alianzas y consensos conseguidos, los espanta“, se lee en la publicación.“Esto más allá de las declaraciones homofóbicas que acabó de leer y que son inaceptables. Espero que se recapacite el rumbo tomado”, señaló.MIRA AQUÍ | Congresistas opinaron sobre designación de Guido Bellido como presidente del Consejo de MinistrosPrimer grave error político del gobierno, nombrar como Premier a una persona que, en lugar de afirmar las alianzas y consensos conseguidos, los espanta. Esto más allá de las declaraciones homofóbicas que acabó de leer y q son inaceptables. Espero que se recapacite el rumbo tomado— julioarbizu (@julioarbizu) July 29, 2021 Este jueves, el presidente Pedro Castillo tomó juramento a quien será el presidente del Consejo de Ministros. Se trata del congresista por Cusco de Perú Libre, Guido Bellido, quien juró al cargo en una ceremonia en la Pampa de la Quinua, en la región Ayacucho.Tags Relacionados:Julio ArbizuGuido BellidoPedro CastilloNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
5,diariocorreo,2021-07-29 21:03:14.998000+00:00,"Guido Bellido, el nuevo presidente del Consejo de Ministros que sacó cara por la senderista Edith Lagos (VIDEO)","El nombrado titular de la PCM increpó en el detrás de cámaras de una entrevista a una periodista que le preguntó sobre su defensa a la exintegrante de Sendero Luminoso: “¿Qué tienes contra los senderistas?”. Redacción Diario CorreoActualizado el 29/07/2021 04:03 p.m.El congresista de la bancada de Perú Libre, Guido Bellido, fue nombrado titular del Consejo de Ministros por el presidente Pedro Castillo Terrones. El parlamentario juró al cargo en la Pampa de la Quinua en Ayacucho la tarde de este jueves 29 de julio. Vladimir Cerrón: El presidente, el partido y la bancada darán respuesta sólida sobre futuro gabineteSin embargo, el pasado del parlamentario despierta más dudas que certezas respecto a su distanciamiento con ideologías radicales. Y es que Bellido alguna vez homenajeó a Edith Lagos, ex integrante de la organización terrorista Sendero Luminoso, según un informe de América Televisión.“El país estaba en desastre, hubo peruanos que equivocadamente tomaron un camino, ¿Son peruanos o no? Por eso tienen sus derechos”, comentó cuando se le consultó su opinión sobre el grupo cuyo cabecilla fue Abimael Guzmán.“Es una peruana que ha tenido una postura. Yo no sabía que era una sanguinaria. Ella es una persona que ha estado en un momento de conflicto en el país y ha estado vinculada a Sendero Luminoso”, refirió sobre Edith Lagos.TE PUEDE INTERESAR | Así se llevó a cabo la captura de Abimael Guzmán, el cabecilla de Sendero LuminosoPreviamente, el nuevo jefe de gabinete había compartido una publicación titulada “Nuestra defensa a Edith Lagos” aduciendo que ejercía su derecho a la libertad de expresión.Lo que más llamó la atención fue el detrás de cámaras de una entrevista que brindó a Inka Visión. El momento fue registrado por personal de la producción de dicho programa.En él se escucha a Bellido reclamarle a la periodista de forma enérgica. “¿Qué tienes contra los senderistas? ¿Qué tienes? Tienes que ser honesta, pues”, dijo.Sin duda, este nombramiento podría ser el primer escollo que tenga el gobierno de Castillo Terrones, ya que el gabinete en su conjunto tendrá que pedir la confianza del Congreso en unas semanas. TE PUEDE INTERESAR Guillermo Bermejo: Testigo afirma que recibió entrenamiento militar de los camaradas “José” y “Alipio”Sendero Luminoso busca boicotear las Elecciones Generales Perú 2021 (VIDEO)Pedro Castillo: “Seré el primero en sancionar a la autoridad que se robe un centavo a este pueblo peruano”Qué es una asamblea constituyente y de qué se encargaTags Relacionados:Guido BellidopremierEdith LagosConsejo de MinistrosNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
6,diariocorreo,2021-07-29 20:52:33.355000+00:00,Congresistas opinaron sobre designación de Guido Bellido como presidente del Consejo de Ministros,"Los legisladores de Juntos por el Perú, Avanza País, Fuerza Popular y Renovación Popular mostraron sus opiniones respecto a Guido Bellido, presidente del Consejo de Ministros.  (Foto: Alessandro Currarino @photo.gec) Redacción Diario CorreoActualizado el 29/07/2021 03:52 p.m.Los congresistas de las bancadas de Juntos por el Perú, Avanza País, Fuerza Popular y Renovación Popular expresaron sus posiciones sobre la designación de Guido Bellido como titular del gabinete ministerial.MIRA ESTO | Juramentación de ministros será en el Gran Teatro Nacional hoy en la nocheJUNTOS POR EL PERÚRuth Luque (Juntos por el Perú) indicó que “lo ideal” hubiera sido elegir a una persona que genere confianza y pueda establecer consensos entre todas las fuerzas políticas del Legislativo. Sin embargo, sostuvo que se deben escuchar los compromisos de Bellido Ugarte en la defensa de los valores democráticos y los lineamientos de su gestión.“Lo ideal creo que en este contexto hubiera sido generar una persona que genere confianza y consensos, reconociendo el contexto actual en el que estamos […] Corresponde al señor Guido Bellido que ahora es premier de este gabinete, comunicar y expresar públicamente cuáles van a ser sus compromisos en la defensa de los valores democráticos y cómo es que se van a generar las condiciones de consensos, eso es fundamental y que él expresamente lo diga”, manifestó en RPP Noticias.AVANZA PAÍSEl legislador Alejandro Cavero (Avanza País) calificó como “una lástima” la decisión del presidente Pedro Castillo, de colocar a Guido Bellido como primer ministro, al considerarlo como un mensaje que polariza y mantiene la confrontación.“Para mí es lamentable que se persista en nombre a una persona que no genera consensos, que no busca la unidad del país, sino que más bien busca polarizar y hacer el juego a un ala radical de su partido. Recordemos que fue Bellido quien, además, ingresó junto a Vladimir Cerrón a la ceremonia de juramentación que creo que no da un mensaje de unidad y mesura al país, al contrario, creo que es un mensaje clarísimo de confrontación al Congreso”, refirió.MIRA AQUÍ | Guido Bellido: ¿Quién es el nuevo presidente del Consejo de Ministros?FUERZA POPULAR Por su parte, Patricia Juárez (Fuerza Popular) consideró que Guido Bellido representa el “ala dura” de la agrupación Perú Libre, cercana al sentenciado secretario general de dicho partido, Vladimir Cerrón.“En principio lo que podemos ver es que el ala dura del partido Perú Libre, del señor Cerrón, es el que finalmente ha designado a una de las personas de mayor confianza como lo es el señor Guido Bellido. Ya hemos visto cómo aparece en estos audios de Los Dinámicos del Centro, es una de las personas que lleva y trae encargos del señor Cerrón”, precisóRENOVACIÓN POPULARFinalmente, Jorge Montoya (Renovación Popular) dijo desconocer los antecedentes de Bellido Ugarte, pero consideró que no reúne los requisitos necesarios para la Presidencia del Consejo de Ministros.“Es un colega congresista nuestro, no conozco sus antecedentes ni su capacidad gerencial para poder manejar el premierato del país. Creo que no reúne los requisitos que se supone debe reunir las persona que debe ocupar ese puesto ahora en una situación tan complicada para el país, donde se necesita estabilidad económica, jurídica”, enfatizó.TE PUEDE INTERESARGuido Bellido: el premier que sacó cara por senderista Edith Lagos (VIDEO)Guido Bellido es el presidente del Consejo de Ministros del gobierno de Pedro CastilloGuido Bellido sobre Pedro Francke en el MEF: “Se están evaluando otros profesionales”Congresista de Perú Libre juró por una “nueva Constitución”Tags Relacionados:Guido BellidoJuntos por el PerúRuth LuqueAvanza PaísConsejo de MinistrosFuerza PopularAlejandro CaveroRenovación PopularJorge MontoyaNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
7,diariocorreo,2021-07-29 20:11:01.618000+00:00,Juramentación de ministros será en el Gran Teatro Nacional hoy en la noche,"La ceremonia programada para el viernes 30 de julio, se realizará hoy en el Gran Teatro Nacional. (Foto: Alessandro Currarino / @photo.gec) Redacción Diario CorreoActualizado el 29/07/2021 03:11 p.m.La Presidencia de la República informó este jueves 29 de julio un nuevo cambio en la fecha de la juramentación del Gabinete Ministerial encabezado por Guido Bellido.MIRA ESTO | Pedro Castillo, desde Ayacucho, indica que buscará que el gas de Camisea sea para los peruanosEn un comunicado, señaló que la ceremonia -que en un primer momento fue programada para el miércoles 28 de julio y postergada para el viernes 30- se llevará a cabo hoy en el Gran Teatro Nacional, ubicado en San Borja, en Lima.El evento se realizará a las 8:30 p.m. y será transmitida por la señal de TV Perú.Juramentación del Gabinete será este jueves a las 8:30 p.m. (Documento) Este jueves, el presidente Pedro Castillo tomó juramento a quien será el presidente del Consejo de Ministros. Se trata del congresista por Cusco de Perú Libre, quien juró al cargo en una ceremonia en la Pampa de la Quinua.VIDEO RECOMENDADOFiestas Patrias: ¿Cuáles son las medidas restrictivas para el 28 y 29 de julio por el COVID-19?La ministra de Comercio Exterior y Turismo, Claudia Cornejo, informó  cuáles serán las restricciones por 28 y 29 de julio, con motivo de las celebraciones por Fiestas Patrias, en medio de la segunda ola del coronavirus que está en descenso. Tags Relacionados:Gran Teatro NacionalPCMGuido BellidoNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
8,diariocorreo,2021-07-29 19:40:18.175000+00:00,Pedro Castillo: “Seré el primero en sancionar a la autoridad que se robe un centavo a este pueblo peruano”,"Presidente convocó a la población a estar vigilante de que las autoridades trabajen por el país. (Foto: Presidencia del Perú) Redacción Diario CorreoActualizado el 29/07/2021 02:40 p.m.El presidente de la República, Pedro Castillo, juró simbólicamente al cargo este jueves 29 de julio en la Pampa de Ayacucho. En su discurso, convocó a los gobernadores regionales y a los alcaldes a trabajar juntos y afirmó que será “el primero” en sancionar a quienes roben al pueblo peruano.MIRA AQUÍ | Guido Bellido: ¿Quién es el nuevo presidente del Consejo de Ministros?“Invoco y convoco a los gobernadores regionales de todo el país, que la próxima semana estaré con ustedes para que de una vez por todas agendemos lo que tenemos que trabajar por el Perú y la semana siguiente convoco a todos los alcaldes del pueblo peruano para ponernos al frente, sacarnos los zapatos y trabajar por el país”, aseveró.Asimismo, convocó a la población a estar vigilante de que las autoridades trabajen por el país.“Desde este suelo peruano convoco a todos los hombres y mujeres de la Patria para que estemos vigilantes y ver que los alcaldes, los gobernadores, ministros y congresistas se pongan a trabajar por el Perú, y seré el primero en sancionar a la autoridad que se robe un centavo a este pueblo peruano”, agregó.TE PUEDE INTERESAR | Guido Bellido: el premier que sacó cara por senderista Edith Lagos (VIDEO)Finalmente, Castillo señaló que “ya no es tiempo de mirar al Perú con indiferencia” e invocó a la unidad de toda la población.“Hoy ya no es tiempo de mirar al Perú con indiferencia. Hoy invoco una vez más que ha llegado el momento de la gran unidad, ya no hay vencidos ni vencedores. Hoy el Perú necesita que sus hijos trabajemos con la más amplia unidad y lealtad que siempre el pueblo ha pedido confianza en sus autoridades”, refirió.Regístrate AQUÍ en nuestro boletín CORREO HOY y recibe las noticias que más te interesanVIDEO RECOMENDADO Fiestas Patrias: ¿Cuáles son las medidas restrictivas para el 28 y 29 de julio por el COVID-19?La ministra de Comercio Exterior y Turismo, Claudia Cornejo, informó  cuáles serán las restricciones por 28 y 29 de julio, con motivo de las celebraciones por Fiestas Patrias, en medio de la segunda ola del coronavirus que está en descenso. Tags Relacionados:Pedro CastilloAyacuchoPerú LibrePCMNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
9,diariocorreo,2021-07-29 18:48:45.293000+00:00,EN VIVO | Guido Bellido es el presidente del Consejo de Ministros de Pedro Castillo,"Esta tarde Bellido asumió al cargo en la Pampa de la Quinua, en Ayacucho, durante la ceremonia simbólica a la que fue invitado el mandatario como parte de las actividades por el bicentenario de la independencia del Perú. Redacción Diario CorreoActualizado el 29/07/2021 01:48 p.m.El congresista de Perú Libre, Guido Bellido, juró esta tarde como el nuevo presidente del Consejo de Ministros en el primer gabinete de la gestión del presidente Pedro Castillo Terrones.“Por los más de 30 millones de hermanos, por la lucha contra la corrupción, por el trabajo para nuestro pueblo peruano”, señaló Bellido en su juramentación para posteriormente dar unas palabras en quechua.SIGUE AQUÍ LA TRANSMISIÓN EN VIVO DE LA CEREMONIAMIRA: Betssy Chávez: “En los próximos días vamos a introducir el proyecto” para convocar a Asamblea ConstituyenteEsta tarde Bellido asumió al cargo en la Pampa de la Quinua, en Ayacucho, durante la ceremonia simbólica a la que fue invitado el mandatario como parte de las actividades por el bicentenario de la independencia del Perú.Previamente, el secretario general de Perú Libre, el partido de gobierno, Vladimir Cerrón, publicó en Twitter un comentario que daba luces sobre la designación de quienes estarán en las carteras del Gabinete Ministerial.MIRA: Keiko Fujimori a Pedro Castillo: “Seremos un muro de contención frente a su amenaza de una nueva Constitución”“Existe mucha especulación acerca del futuro gabinete, pero también conspiración caviar, ante lo cual el Presidente, el Partido y la Bancada, darán una sólida respuesta. ¡Vamos seguros al cambio que necesita la patria!”, escribió.NOTICIA EN DESARROLLOVIDEO RELACIONADOPedro Castillo ratifica que se convocará a una Asamblea ConstituyenteTags Relacionados:Pedro Castilloprimer ministrogabineteNO TE PIERDASContenido de Mag.Una perra guio a dos extraños hasta un pozo de alquitrán y ‘pidió' que rescaten a su pequeño cachorro “Xena, la princesa guerrera”: Lucy Lawless, 25 años después del estreno de la serieWhatsApp: truco para agregar efectos de sonido a las notas de vozBTS: por qué Jimin casi queda fuera de la agrupación de K-PopWhatsApp: conoce el significado de este emoji que no son conejitas de PlayboyLulu Lakatos, la mujer que cambió diamantes valuados en millones de dólares por piedras comunes"
